name,countryCode,countryName,year,tei,isai,isli,soi,tpi,auci,uai,notcd,tasi,l3ai,cjci,cjli
Nonghyup (KR),KR,Korea,2021,421667105285,68914848626,14980949588,29644675123,613314881324,530526538820,35284152470,157656467731,16861297854,11121079239,8143969480,8588535433
Nordea (FI),FI,Finland,2021,545719898100,78271190000,30706376000,226251089000,26981893932000,452221966000,81211855000,6449181883000,19649675000,6500914000,396168006000,213154882000
Norinchukin (JP),JP,Japan,2021,828643096911,71838840416,49204471929,19184281100,7088339898902,39119975106,5982513,250017697705,77009395374,851205460,395431230792,208460194741
Ping An (CN),CN,China,2021,823924747409,38772778882,52752846099,168369554095,20523849624348,1058561016622,44338638210,837984561582,43575217270,567640069,11505984175,20909865409
PNC (US),US,USA,2021,582254445811,31431909762,17849196537,117707166683,3802179939532,110394499369,37203778912,441362352060,23105856434,5192869503,10248984636,14148861026
Postale (FR),FR,France,2021,777824379465,61643312584,42546355248,33380288000,202658178134,12946901000, -   ,147649741053,10229484449,18497647000,24194129133,7483176241
Rabobank (NL),NL,Netherlands,2021,664086758585,25198684904,41130107094,114103642278,26285821598216,197255,7137711485,5034209000000,2648652658,2924000000,256971783190,93303306892
RBC (CA),CA,Canada,2021,1335237006382,146636558648,121971639512,288563229917,36857012672089,3411376025498,223141593688,15473788040647,53979751538,2496885987,600694674602,474221497384
Santander (ES),ES,Spain,2021,1670996018756,109265187443,118184641525,266313861033,8777218308845,840853078000,77957592509,5475141327412,3264901000,7668058697,1131511609246,847960298000
Shanghai Pudong (CN),CN,China,2021,1303322332780,116565208110,271515927975,232260275164,27408602671827,2010677949726,102951339286,874289118716,22951677674,4637024481,24469515380,36517603352
Shinhan (KR),KR,Korea,2021,553698344213,44968506336,57287918981,97870879155,646205003075,319522294046,9005477364,181907714268,36638231056,6088638412,37643928764,36512046650
SMFG (JP),JP,Japan,2021,2132863397712,324034491050,173429783271,234360363796,33323322369203,111073995706,85409601264,8324309268250,92074703985,3801340727,563862415090,518454745817
SMTH (JP),JP,Japan,2021,515556857094,50367119061,60533348518,96275064948,5178182522409,2274943037588,64158613,1431400717305,24416789322,2704410179,80972948098,120236385641
